post_owner,time_of_day,year,month,day,day_week,date,hour,part_of_day
deyvisonfsilva,2017-11-05 01:08:55,2017,November,5,Sunday,2017-11-05,1,Late Night
pretagil,2017-11-03 00:21:43,2017,November,3,Friday,2017-11-03,0,Late Night
luccas._.alves,2017-10-31 17:19:07,2017,October,31,Tuesday,2017-10-31,17,Evening
lolitapimenta,2017-10-30 03:59:26,2017,October,30,Monday,2017-10-30,3,Late Night
talesmaneva,2017-10-30 02:44:14,2017,October,30,Monday,2017-10-30,2,Late Night
sylvesterhenrique,2017-10-26 02:17:34,2017,October,26,Thursday,2017-10-26,2,Late Night
sylvesterhenrique,2017-10-26 02:14:39,2017,October,26,Thursday,2017-10-26,2,Late Night
esterluna18,2017-10-25 17:57:30,2017,October,25,Wednesday,2017-10-25,17,Evening
mari.ilustra,2017-10-24 00:47:02,2017,October,24,Tuesday,2017-10-24,0,Late Night
bigbangtheory,2017-10-20 22:36:54,2017,October,20,Friday,2017-10-20,22,Night
mariadoceurecife,2017-10-18 02:37:31,2017,October,18,Wednesday,2017-10-18,2,Late Night
luccas._.alves,2017-10-14 21:02:08,2017,October,14,Saturday,2017-10-14,21,Night
luccas._.alves,2017-10-13 02:27:41,2017,October,13,Friday,2017-10-13,2,Late Night
johnmayer,2017-10-10 10:09:40,2017,October,10,Tuesday,2017-10-10,10,Morning
paulogustavo31,2017-10-07 20:39:53,2017,October,7,Saturday,2017-10-07,20,Evening
ilustralu,2017-10-06 03:35:07,2017,October,6,Friday,2017-10-06,3,Late Night
wilcla_maedebiaebruna,2017-10-06 01:33:44,2017,October,6,Friday,2017-10-06,1,Late Night
luccas._.alves,2017-09-26 01:51:34,2017,September,26,Tuesday,2017-09-26,1,Late Night
ceu,2017-09-23 02:51:18,2017,September,23,Saturday,2017-09-23,2,Late Night
poenaroda,2017-09-21 02:36:31,2017,September,21,Thursday,2017-09-21,2,Late Night
klebsonguerra,2017-09-21 01:09:55,2017,September,21,Thursday,2017-09-21,1,Late Night
klebsonguerra,2017-09-21 01:09:50,2017,September,21,Thursday,2017-09-21,1,Late Night
pepita,2017-09-20 22:44:11,2017,September,20,Wednesday,2017-09-20,22,Night
luccas._.alves,2017-09-09 15:03:36,2017,September,9,Saturday,2017-09-09,15,Afternoon
tooadventures,2017-09-08 02:48:23,2017,September,8,Friday,2017-09-08,2,Late Night
tooadventures,2017-09-08 02:45:56,2017,September,8,Friday,2017-09-08,2,Late Night
unicornio6867,2017-09-08 02:40:39,2017,September,8,Friday,2017-09-08,2,Late Night
brunatavares,2017-09-06 17:08:53,2017,September,6,Wednesday,2017-09-06,17,Evening
brianmayforreal,2017-09-06 01:46:26,2017,September,6,Wednesday,2017-09-06,1,Late Night
brunatavares,2017-09-03 15:29:32,2017,September,3,Sunday,2017-09-03,15,Afternoon
danielpxeira,2017-09-01 20:52:33,2017,September,1,Friday,2017-09-01,20,Evening
sylvesterhenrique,2017-09-01 20:39:01,2017,September,1,Friday,2017-09-01,20,Evening
sanzara_,2017-08-23 22:21:10,2017,August,23,Wednesday,2017-08-23,22,Night
wilcla_maedebiaebruna,2017-08-23 22:18:40,2017,August,23,Wednesday,2017-08-23,22,Night
brunogagliasso,2017-08-21 01:00:31,2017,August,21,Monday,2017-08-21,1,Late Night
feliphe_bravo,2017-08-18 01:37:19,2017,August,18,Friday,2017-08-18,1,Late Night
henricastelli,2017-08-16 01:39:25,2017,August,16,Wednesday,2017-08-16,1,Late Night
luccas._.alves,2017-08-10 12:48:59,2017,August,10,Thursday,2017-08-10,12,Morning
luccas._.alves,2017-08-09 20:33:22,2017,August,9,Wednesday,2017-08-09,20,Evening
chloeclem,2017-08-09 02:59:24,2017,August,9,Wednesday,2017-08-09,2,Late Night
chloeclem,2017-08-09 00:48:19,2017,August,9,Wednesday,2017-08-09,0,Late Night
poesiagaybrasileira,2017-08-01 16:14:58,2017,August,1,Tuesday,2017-08-01,16,Afternoon
jfentonart,2017-08-01 12:50:32,2017,August,1,Tuesday,2017-08-01,12,Morning
editorarocco,2017-08-01 12:37:54,2017,August,1,Tuesday,2017-08-01,12,Morning
zizipossi,2017-07-31 14:02:30,2017,July,31,Monday,2017-07-31,14,Afternoon
cauelascala,2017-07-29 22:04:24,2017,July,29,Saturday,2017-07-29,22,Night
deyvisonfsilva,2017-07-28 00:37:49,2017,July,28,Friday,2017-07-28,0,Late Night
deyvisonfsilva,2017-07-28 00:37:01,2017,July,28,Friday,2017-07-28,0,Late Night
katyperry,2017-07-27 13:24:58,2017,July,27,Thursday,2017-07-27,13,Afternoon
deyvisonfsilva,2017-07-27 13:22:21,2017,July,27,Thursday,2017-07-27,13,Afternoon
deyvisonfsilva,2017-07-27 13:22:14,2017,July,27,Thursday,2017-07-27,13,Afternoon
deyvisonfsilva,2017-07-27 13:21:01,2017,July,27,Thursday,2017-07-27,13,Afternoon
oinsurgente,2017-07-25 02:54:01,2017,July,25,Tuesday,2017-07-25,2,Late Night
faroeditorial,2017-07-21 23:31:08,2017,July,21,Friday,2017-07-21,23,Night
globolivros,2017-07-21 16:20:19,2017,July,21,Friday,2017-07-21,16,Afternoon
mateuscarrilho,2017-07-20 15:51:11,2017,July,20,Thursday,2017-07-20,15,Afternoon
officialaha,2017-07-18 14:09:33,2017,July,18,Tuesday,2017-07-18,14,Afternoon
officialaha,2017-07-18 14:08:00,2017,July,18,Tuesday,2017-07-18,14,Afternoon
magne_furuholmen,2017-07-16 15:50:31,2017,July,16,Sunday,2017-07-16,15,Afternoon
officialaha,2017-07-16 15:49:17,2017,July,16,Sunday,2017-07-16,15,Afternoon
danisuzuki,2017-07-15 03:44:26,2017,July,15,Saturday,2017-07-15,3,Late Night
irandhirsan,2017-07-13 20:29:25,2017,July,13,Thursday,2017-07-13,20,Evening
aninhabac,2017-07-13 20:23:04,2017,July,13,Thursday,2017-07-13,20,Evening
aninhabac,2017-07-13 20:23:00,2017,July,13,Thursday,2017-07-13,20,Evening
antrohh,2017-07-11 22:16:29,2017,July,11,Tuesday,2017-07-11,22,Night
taciana21_o,2017-07-07 23:40:09,2017,July,7,Friday,2017-07-07,23,Night
danywsbela,2017-07-06 02:08:02,2017,July,6,Thursday,2017-07-06,2,Late Night
johnmayer,2017-06-27 14:50:31,2017,June,27,Tuesday,2017-06-27,14,Afternoon
oficialdricamoraes,2017-06-25 19:09:37,2017,June,25,Sunday,2017-06-25,19,Evening
brunogagliasso,2017-06-25 01:01:48,2017,June,25,Sunday,2017-06-25,1,Late Night
faroeditorial,2017-06-23 21:12:35,2017,June,23,Friday,2017-06-23,21,Night
faroeditorial,2017-06-23 21:12:14,2017,June,23,Friday,2017-06-23,21,Night
faroeditorial,2017-06-23 21:11:41,2017,June,23,Friday,2017-06-23,21,Night
digaoraimundos,2017-06-23 18:45:09,2017,June,23,Friday,2017-06-23,18,Evening
henricastelli,2017-06-23 18:42:06,2017,June,23,Friday,2017-06-23,18,Evening
faroeditorial,2017-06-21 16:24:45,2017,June,21,Wednesday,2017-06-21,16,Afternoon
brunogagliasso,2017-06-20 20:25:50,2017,June,20,Tuesday,2017-06-20,20,Evening
marcmartel,2017-06-20 00:18:21,2017,June,20,Tuesday,2017-06-20,0,Late Night
chandellybraz,2017-06-19 20:15:27,2017,June,19,Monday,2017-06-19,20,Evening
ceu,2017-06-19 19:25:18,2017,June,19,Monday,2017-06-19,19,Evening
brunacaram,2017-06-19 18:19:12,2017,June,19,Monday,2017-06-19,18,Evening
mateuscarrilho,2017-06-19 16:49:25,2017,June,19,Monday,2017-06-19,16,Afternoon
mateuscarrilho,2017-06-19 14:54:31,2017,June,19,Monday,2017-06-19,14,Afternoon
henricastelli,2017-06-19 00:10:58,2017,June,19,Monday,2017-06-19,0,Late Night
adrielle_murielle,2017-06-17 20:20:21,2017,June,17,Saturday,2017-06-17,20,Evening
pretagil,2017-06-17 16:26:00,2017,June,17,Saturday,2017-06-17,16,Afternoon
ottomatopeia,2017-06-15 16:54:28,2017,June,15,Thursday,2017-06-15,16,Afternoon
zizipossi,2017-06-14 15:29:12,2017,June,14,Wednesday,2017-06-14,15,Afternoon
laura_wie,2017-06-13 22:42:59,2017,June,13,Tuesday,2017-06-13,22,Night
maymonetattoo,2017-06-13 17:38:07,2017,June,13,Tuesday,2017-06-13,17,Evening
maymonetattoo,2017-06-13 17:21:53,2017,June,13,Tuesday,2017-06-13,17,Evening
rodrigogodoy_,2017-06-13 01:55:48,2017,June,13,Tuesday,2017-06-13,1,Late Night
companhiadasletras,2017-06-12 23:36:31,2017,June,12,Monday,2017-06-12,23,Night
marcmartel,2017-06-12 17:00:38,2017,June,12,Monday,2017-06-12,17,Evening
pretagil,2017-06-11 01:20:38,2017,June,11,Sunday,2017-06-11,1,Late Night
alejds1,2017-06-08 19:12:35,2017,June,8,Thursday,2017-06-08,19,Evening
ivetesangalo,2017-06-05 19:37:29,2017,June,5,Monday,2017-06-05,19,Evening
tamisacosta,2017-06-04 19:23:23,2017,June,4,Sunday,2017-06-04,19,Evening
johnmayer,2017-05-31 04:11:49,2017,May,31,Wednesday,2017-05-31,4,Late Night
johnmayer,2017-05-31 03:35:47,2017,May,31,Wednesday,2017-05-31,3,Late Night
diariodepernambuco,2017-05-29 02:39:34,2017,May,29,Monday,2017-05-29,2,Late Night
diariodepernambuco,2017-05-27 23:34:25,2017,May,27,Saturday,2017-05-27,23,Night
editoraaleph,2017-05-26 20:03:50,2017,May,26,Friday,2017-05-26,20,Evening
rodrigogodoy_,2017-05-25 23:47:03,2017,May,25,Thursday,2017-05-25,23,Night
brunatavares,2017-05-22 16:05:56,2017,May,22,Monday,2017-05-22,16,Afternoon
hipsterrecifense,2017-05-21 01:31:59,2017,May,21,Sunday,2017-05-21,1,Late Night
midianinja,2017-05-18 19:30:33,2017,May,18,Thursday,2017-05-18,19,Evening
rodrigogodoy_,2017-05-12 01:55:25,2017,May,12,Friday,2017-05-12,1,Late Night
lanisaquirino,2017-05-01 17:53:49,2017,May,1,Monday,2017-05-01,17,Evening
ceu,2017-04-21 21:32:11,2017,April,21,Friday,2017-04-21,21,Night
johnmayer,2017-04-14 02:31:00,2017,April,14,Friday,2017-04-14,2,Late Night
revistaforum,2017-04-06 04:21:21,2017,April,6,Thursday,2017-04-06,4,Late Night
diariodepernambuco,2017-04-01 02:39:53,2017,April,1,Saturday,2017-04-01,2,Late Night
midianinja,2017-04-01 02:37:08,2017,April,1,Saturday,2017-04-01,2,Late Night
universodoslivros,2017-03-29 14:12:34,2017,March,29,Wednesday,2017-03-29,14,Afternoon
diariodepernambuco,2017-03-29 14:08:59,2017,March,29,Wednesday,2017-03-29,14,Afternoon
livraria_cultura,2017-03-25 13:51:22,2017,March,25,Saturday,2017-03-25,13,Afternoon
diariodepernambuco,2017-03-24 22:50:42,2017,March,24,Friday,2017-03-24,22,Night
estadao,2017-03-23 21:08:27,2017,March,23,Thursday,2017-03-23,21,Night
paulalavigne,2017-03-21 01:50:30,2017,March,21,Tuesday,2017-03-21,1,Late Night
companhiadasletras,2017-03-21 01:44:59,2017,March,21,Tuesday,2017-03-21,1,Late Night
jfentonart,2017-03-12 20:24:54,2017,March,12,Sunday,2017-03-12,20,Evening
estadao,2017-03-11 04:14:43,2017,March,11,Saturday,2017-03-11,4,Late Night
estadao,2017-03-09 20:47:50,2017,March,9,Thursday,2017-03-09,20,Evening
diariodepernambuco,2017-03-07 15:30:46,2017,March,7,Tuesday,2017-03-07,15,Afternoon
diariodepernambuco,2017-03-03 02:25:21,2017,March,3,Friday,2017-03-03,2,Late Night
lenine,2017-02-23 19:16:39,2017,February,23,Thursday,2017-02-23,19,Evening
wilcla_maedebiaebruna,2017-02-22 00:30:20,2017,February,22,Wednesday,2017-02-22,0,Late Night
lourraiinee,2017-02-18 02:37:07,2017,February,18,Saturday,2017-02-18,2,Late Night
diariodepernambuco,2017-02-07 22:49:21,2017,February,7,Tuesday,2017-02-07,22,Night
jornalistaslivres,2017-01-26 04:56:27,2017,January,26,Thursday,2017-01-26,4,Late Night
diariodepernambuco,2017-01-25 14:32:18,2017,January,25,Wednesday,2017-01-25,14,Afternoon
diariodepernambuco,2017-01-25 14:29:48,2017,January,25,Wednesday,2017-01-25,14,Afternoon
diariodepernambuco,2017-01-25 13:02:22,2017,January,25,Wednesday,2017-01-25,13,Afternoon
diariodepernambuco,2017-01-25 13:01:09,2017,January,25,Wednesday,2017-01-25,13,Afternoon
jeanwyllys_real,2017-01-15 02:03:08,2017,January,15,Sunday,2017-01-15,2,Late Night
bloglivrada,2017-01-09 02:17:28,2017,January,9,Monday,2017-01-09,2,Late Night
revistaforum,2017-01-05 04:10:31,2017,January,5,Thursday,2017-01-05,4,Late Night
hipsterrecifense,2017-01-04 15:16:09,2017,January,4,Wednesday,2017-01-04,15,Afternoon
paulogustavo31,2016-12-29 03:27:24,2016,December,29,Thursday,2016-12-29,3,Late Night
xuxameneghel,2016-12-24 03:06:09,2016,December,24,Saturday,2016-12-24,3,Late Night
diariodepernambuco,2016-12-20 23:59:19,2016,December,20,Tuesday,2016-12-20,23,Night
paulogustavo31,2016-12-20 23:56:14,2016,December,20,Tuesday,2016-12-20,23,Night
jeanwyllys_real,2016-12-20 15:12:06,2016,December,20,Tuesday,2016-12-20,15,Afternoon
diariodepernambuco,2016-12-20 15:11:03,2016,December,20,Tuesday,2016-12-20,15,Afternoon
diariodepernambuco,2016-12-20 14:46:08,2016,December,20,Tuesday,2016-12-20,14,Afternoon
tvcultura,2016-12-20 04:55:14,2016,December,20,Tuesday,2016-12-20,4,Late Night
xuxameneghel,2016-12-20 01:25:28,2016,December,20,Tuesday,2016-12-20,1,Late Night
diariodepernambuco,2016-12-17 22:28:19,2016,December,17,Saturday,2016-12-17,22,Night
diariodepernambuco,2016-12-15 05:50:22,2016,December,15,Thursday,2016-12-15,5,Early Morning
monica.iozzi,2016-12-13 01:21:41,2016,December,13,Tuesday,2016-12-13,1,Late Night
culturalivre,2016-12-03 04:23:26,2016,December,3,Saturday,2016-12-03,4,Late Night
olazaroramos,2016-11-27 23:47:44,2016,November,27,Sunday,2016-11-27,23,Night
galcosta,2016-11-24 04:09:45,2016,November,24,Thursday,2016-11-24,4,Late Night
paulogustavo31,2016-11-24 01:44:26,2016,November,24,Thursday,2016-11-24,1,Late Night
miltonbitucanascimento,2016-11-24 01:35:42,2016,November,24,Thursday,2016-11-24,1,Late Night
diariodepernambuco,2016-11-22 23:16:54,2016,November,22,Tuesday,2016-11-22,23,Night
brenabraz,2016-11-22 13:54:16,2016,November,22,Tuesday,2016-11-22,13,Afternoon
sincerooficial,2016-11-22 05:17:38,2016,November,22,Tuesday,2016-11-22,5,Early Morning
brunatavares,2016-11-19 02:42:59,2016,November,19,Saturday,2016-11-19,2,Late Night
ceu,2016-11-18 00:17:37,2016,November,18,Friday,2016-11-18,0,Late Night
diariodepernambuco,2016-11-17 17:34:15,2016,November,17,Thursday,2016-11-17,17,Evening
nat.fr,2016-11-12 02:40:50,2016,November,12,Saturday,2016-11-12,2,Late Night
alfredocardim,2016-11-07 03:30:55,2016,November,7,Monday,2016-11-07,3,Late Night
xuxameneghel,2016-11-07 01:31:37,2016,November,7,Monday,2016-11-07,1,Late Night
miltonbitucanascimento,2016-11-01 21:30:31,2016,November,1,Tuesday,2016-11-01,21,Night
luccas._.alves,2016-10-31 14:03:02,2016,October,31,Monday,2016-10-31,14,Afternoon
tamisacosta,2016-10-30 14:06:59,2016,October,30,Sunday,2016-10-30,14,Afternoon
diariodepernambuco,2016-10-17 14:12:42,2016,October,17,Monday,2016-10-17,14,Afternoon
diariodepernambuco,2016-10-02 15:37:28,2016,October,2,Sunday,2016-10-02,15,Afternoon
ivanlinsoficial,2016-10-02 02:14:04,2016,October,2,Sunday,2016-10-02,2,Late Night
brenabraz,2016-10-02 02:08:29,2016,October,2,Sunday,2016-10-02,2,Late Night
brenabrazbeauty,2016-09-27 01:31:30,2016,September,27,Tuesday,2016-09-27,1,Late Night
brenabrazbeauty,2016-09-26 14:34:28,2016,September,26,Monday,2016-09-26,14,Afternoon
editorabelasletras,2016-09-23 02:44:41,2016,September,23,Friday,2016-09-23,2,Late Night
editorabelasletras,2016-09-23 02:42:55,2016,September,23,Friday,2016-09-23,2,Late Night
xuxameneghel,2016-09-15 20:51:45,2016,September,15,Thursday,2016-09-15,20,Evening
neymatogrosso.fa.clube.oficial,2016-09-11 14:51:47,2016,September,11,Sunday,2016-09-11,14,Afternoon
tamisacosta,2016-09-07 02:48:04,2016,September,7,Wednesday,2016-09-07,2,Late Night
xuxameneghel,2016-09-06 23:13:34,2016,September,6,Tuesday,2016-09-06,23,Night
alejds1,2016-08-30 16:22:55,2016,August,30,Tuesday,2016-08-30,16,Afternoon
oinsurgente,2016-08-30 16:22:11,2016,August,30,Tuesday,2016-08-30,16,Afternoon
monica.iozzi,2016-08-29 21:44:18,2016,August,29,Monday,2016-08-29,21,Night
midianinja,2016-08-29 21:00:31,2016,August,29,Monday,2016-08-29,21,Night
classicalpianocovers,2016-08-27 22:18:36,2016,August,27,Saturday,2016-08-27,22,Night
brenabraz,2016-08-26 19:32:59,2016,August,26,Friday,2016-08-26,19,Evening
yuridomeniconi,2016-08-23 23:35:01,2016,August,23,Tuesday,2016-08-23,23,Night
pitty,2016-08-23 17:48:36,2016,August,23,Tuesday,2016-08-23,17,Evening
ransomriggs,2016-08-23 02:23:41,2016,August,23,Tuesday,2016-08-23,2,Late Night
oinsurgente,2016-08-21 18:18:10,2016,August,21,Sunday,2016-08-21,18,Evening
companhiadasletras,2016-08-16 20:53:36,2016,August,16,Tuesday,2016-08-16,20,Evening
coco.the.parrot,2016-08-16 01:04:25,2016,August,16,Tuesday,2016-08-16,1,Late Night
nat.fr,2016-08-15 11:56:02,2016,August,15,Monday,2016-08-15,11,Morning
eu_rafaela_andrade,2016-08-15 04:11:57,2016,August,15,Monday,2016-08-15,4,Late Night
danielpxeira,2016-08-12 23:12:07,2016,August,12,Friday,2016-08-12,23,Night
johnmayer,2016-08-11 03:34:56,2016,August,11,Thursday,2016-08-11,3,Late Night
paulogustavo31,2016-08-11 03:09:22,2016,August,11,Thursday,2016-08-11,3,Late Night
martinsfontespaulista,2016-08-04 18:13:26,2016,August,4,Thursday,2016-08-04,18,Evening
jornalrascunho,2016-08-04 17:51:47,2016,August,4,Thursday,2016-08-04,17,Evening
midianinja,2016-08-03 04:39:54,2016,August,3,Wednesday,2016-08-03,4,Late Night
homoliteratus,2016-08-03 02:49:42,2016,August,3,Wednesday,2016-08-03,2,Late Night
jornalistaslivres,2016-08-01 03:14:20,2016,August,1,Monday,2016-08-01,3,Late Night
natgeo,2016-07-29 04:56:10,2016,July,29,Friday,2016-07-29,4,Late Night
jorgedupeixe,2016-07-25 02:28:05,2016,July,25,Monday,2016-07-25,2,Late Night
bloglivrada,2016-07-25 00:04:03,2016,July,25,Monday,2016-07-25,0,Late Night
linikeroficial,2016-07-24 23:50:19,2016,July,24,Sunday,2016-07-24,23,Night
tamisacosta,2016-07-24 22:37:40,2016,July,24,Sunday,2016-07-24,22,Night
ceu,2016-07-24 19:18:59,2016,July,24,Sunday,2016-07-24,19,Evening
magloreoficial,2016-07-07 16:15:20,2016,July,7,Thursday,2016-07-07,16,Afternoon
taglivros,2016-07-05 01:31:44,2016,July,5,Tuesday,2016-07-05,1,Late Night
midianinja,2016-07-02 06:40:45,2016,July,2,Saturday,2016-07-02,6,Early Morning
danywsbela,2016-07-02 04:13:56,2016,July,2,Saturday,2016-07-02,4,Late Night
danywsbela,2016-07-02 04:13:52,2016,July,2,Saturday,2016-07-02,4,Late Night
danywsbela,2016-07-02 03:50:53,2016,July,2,Saturday,2016-07-02,3,Late Night
mily_stagram,2016-06-30 11:37:43,2016,June,30,Thursday,2016-06-30,11,Morning
tamisacosta,2016-06-21 02:43:23,2016,June,21,Tuesday,2016-06-21,2,Late Night
johnmayer,2016-06-17 00:40:09,2016,June,17,Friday,2016-06-17,0,Late Night
jeanwyllys_real,2016-05-09 21:41:34,2016,May,9,Monday,2016-05-09,21,Night
cleyson.erasmo,2016-05-08 22:21:32,2016,May,8,Sunday,2016-05-08,22,Night
calopsita_livre,2016-05-03 03:27:47,2016,May,3,Tuesday,2016-05-03,3,Late Night
23harleysage,2016-05-02 03:28:17,2016,May,2,Monday,2016-05-02,3,Late Night
alicesalazaroficial,2016-05-02 03:01:58,2016,May,2,Monday,2016-05-02,3,Late Night
currupaco,2016-04-29 15:33:32,2016,April,29,Friday,2016-04-29,15,Afternoon
currupaco,2016-04-29 15:32:40,2016,April,29,Friday,2016-04-29,15,Afternoon
cakesallib,2016-03-15 03:02:00,2016,March,15,Tuesday,2016-03-15,3,Late Night
diariodepernambuco,2016-03-14 19:25:24,2016,March,14,Monday,2016-03-14,19,Evening
bianca,2016-02-20 18:05:45,2016,February,20,Saturday,2016-02-20,18,Evening
brunamalheiros,2016-02-03 14:34:46,2016,February,3,Wednesday,2016-02-03,14,Afternoon
dailus,2016-01-18 01:27:47,2016,January,18,Monday,2016-01-18,1,Late Night
partiurecife,2015-07-07 00:50:25,2015,July,7,Tuesday,2015-07-07,0,Late Night
deyvisonfsilva,2015-03-09 16:01:56,2015,March,9,Monday,2015-03-09,16,Afternoon
